StdID,StdName,Sex,Percentage,Class,Sec,Stream,DOB
1001,Surekha Joshi,Female,82,12,A,Science,1998-08-03
1002,MAAHI AGARWAL,Female,56,11,C,Commerce,11-23-2008
1003,Sanam Verma,Male,59,11,C,Commerce,6-29-2006
1004,Ronit Kumar,Male,63,11,C,Commerce,1997-05-11
1005,Dipesh Pulkit,Male,78,11,B,Science,2003-09-14
1006,JAHANVI Puri,Female,60,11,B,Commerce,2008-07-11
1007,Sanam Kumar,Male,23,12,F,Commerce,1998-08-03
1008,SAHIL SARAS,Male,56,11,C,Commerce,2008-07-11
1009,AKSHRA AGARWAL,Female,72,12,B,Commerce,1996-01-10
1010,STUTI MISHRA,Female,39,11,F,Science,11-23-2008
1011,HARSH AGARWAL,Male,42,11,C,Science,1998-08-03
1012,NIKUNJ AGARWAL,Male,49,12,C,Commerce,1998-06-28
1013,AKRITI SAXENA,Female,89,12,A,Science,11-23-2008
1014,TANI RASTOGI,Female,82,12,A,Science,11-23-2008
